variant,layer,neuron_index,rank_siren,rank_yang_harmfulness,rank_yang_refusal,rank_zhao_topk,rank_zhao_relative_epsilon,rank_wang,rank_wang_robust,percentile_siren,percentile_yang_harmfulness,percentile_yang_refusal,percentile_zhao_topk,percentile_zhao_relative_epsilon,percentile_wang,percentile_wang_robust,consensus_score,n_methods_at_N,methods_that_selected_it_at_N,selection_rank
rank_consensus,12,9795,10861,3643,6239,347,133,441,739,0.023672972919950037,0.007938947272049543,0.013597790522527471,0.0007542217891623124,0.0002877377923971828,0.0009591259746572759,0.001608715839311522,0.006974216015722192,4,zhao_topk;zhao_relative_epsilon;wang;wang_robust,52
rank_consensus,31,13336,1140,2657,876,1447,16182,207,65,0.002482828375305994,0.005789633156113011,0.0019073527905116283,0.0031520367258055025,0.03527185771802132,0.0004490453426804519,0.00013950923267742196,0.007027466191587903,5,siren;yang_refusal;zhao_topk;wang;wang_robust,53
rank_consensus,12,13868,16928,1372,4083,38,14,140,272,0.03689801221141752,0.0029885493437616486,0.00889807324670682,8.065377514163457e-05,2.8337812887601334e-05,0.0003029966147212758,0.0005907344071184586,0.007112479630250709,5,yang_harmfulness;zhao_topk;zhao_relative_epsilon;wang;wang_robust,54
rank_consensus,15,7922,7124,8310,5046,639,1325,264,496,0.015526941630644947,0.01811222209869842,0.010997251232149903,0.0013907326632530501,0.0028860972510141667,0.0005732957530337809,0.0010790167214894354,0.007223651050040529,4,zhao_topk;zhao_relative_epsilon;wang;wang_robust,55
rank_consensus,19,10931,13222,1117,1015,923,5861,453,736,0.028819555706690557,0.0024326922448125454,0.002210349405232904,0.00200980488325911,0.012773814117026447,0.0009852839557842926,0.0016021763440297679,0.007261953808119374,5,yang_harmfulness;yang_refusal;zhao_topk;wang;wang_robust,56
rank_consensus,31,4786,15880,1680,717,1180,3875,164,50,0.03461354852632474,0.0036599375260217416,0.0015607595405786581,0.0025700216457293827,0.008444668240505198,0.00035531257697530904,0.00010681175626865118,0.007330151401771955,5,yang_harmfulness;yang_refusal;zhao_topk;wang;wang_robust,57
rank_consensus,29,9923,2925,1269,5918,5860,6881,490,409,0.006373828067949716,0.0027640266724214225,0.012898064527379776,0.012771634285265863,0.01499724251282286,0.001065937730925927,0.0008893713583185649,0.007394300736440589,3,yang_harmfulness;wang;wang_robust,58
rank_consensus,30,14261,9519,4023,763,6272,3093,169,147,0.020747638697245347,0.008767283341071736,0.0016610318015655551,0.013669724970626768,0.0067400398037279485,0.00036621173577823263,0.00031825543704536884,0.007467169398151566,3,yang_refusal;wang;wang_robust,59
rank_consensus,29,4918,8769,281,1064,3329,1757,5847,3023,0.01911276487680681,0.0006103528929637211,0.0023171611615015555,0.0072544800992259415,0.0038277845715867648,0.012743296472378263,0.006587451580487018,0.007493327379278582,3,yang_harmfulness;yang_refusal;zhao_relative_epsilon,60
rank_consensus,17,14096,14947,2521,6482,12,12,40,122,0.032579765493699196,0.0054931760366734896,0.014127489640349558,2.39781493664319e-05,2.39781493664319e-05,8.5013438662804e-05,0.0002637596430307509,0.007513880078735523,4,zhao_topk;zhao_relative_epsilon;wang;wang_robust,61
rank_consensus,30,4381,7741,1835,1902,5857,3958,1895,1016,0.01687189782692572,0.003997811448912373,0.004143860176871549,0.012765094789984109,0.00862559427663373,0.004128601354547456,0.002212529236993489,0.007535055587266919,4,yang_harmfulness;yang_refusal;wang;wang_robust,62
