layer,neuron_index,rank_siren,percentile_siren,rank_yang_harmfulness,percentile_yang_harmfulness,rank_yang_refusal,percentile_yang_refusal,rank_zhao_topk,percentile_zhao_topk,rank_zhao_relative_epsilon,percentile_zhao_relative_epsilon,rank_wang,percentile_wang,rank_wang_robust,percentile_wang_robust,consensus_score,n_methods_at_N,methods_that_selected_it_at_N
29,4145,9288,0.020244097560550275,2066,0.004501352585607443,954,0.0020773796678372363,2966,0.006463201170133689,2102,0.004579826528988492,932,0.0020294233691043723,693,0.0015084435783246249,0.00591481778007802,6,yang_harmfulness;yang_refusal;zhao_topk;zhao_relative_epsilon;wang;wang_robust
29,3438,4024,0.008769463172832321,6097,0.013288254412524441,2553,0.0055629306530122005,3056,0.006659386028586314,3296,0.007182545651126646,249,0.0005405982766250101,242,0.0005253394543009171,0.006075502521286836,7,siren;yang_harmfulness;yang_refusal;zhao_topk;zhao_relative_epsilon;wang;wang_robust
30,7872,14978,0.03264734027827732,221,0.00047956298732863796,1895,0.004128601354547456,1297,0.0028250619617177946,718,0.001562939372339243,241,0.0005231596225403324,221,0.00047956298732863796,0.006092318366297061,6,yang_harmfulness;yang_refusal;zhao_topk;zhao_relative_epsilon;wang;wang_robust
31,9825,1173,0.0025547628234052896,6,1.089915880292359e-05,161,0.0003487730816935549,1265,0.0027553073453790836,17505,0.0381557751372749,147,0.00031825543704536884,45,9.59125974657276e-05,0.00631995508300955,6,siren;yang_harmfulness;yang_refusal;zhao_topk;wang;wang_robust
31,7450,12594,0.027450621361043356,7,1.3078990563508308e-05,66,0.00014168906443800668,1188,0.0025874602998140605,6917,0.015075716456203911,231,0.0005013613049344852,76,0.00016348738204385386,0.006561916408434455,6,yang_harmfulness;yang_refusal;zhao_topk;zhao_relative_epsilon;wang;wang_robust
28,11702,4524,0.00985937905312468,5724,0.012475177165826341,1875,0.004085004719335762,1018,0.0022168889005146583,7005,0.015267541651135365,537,0.001168389823673409,471,0.0010245209274748176,0.0065852717487264335,7,siren;yang_harmfulness;yang_refusal;zhao_topk;zhao_relative_epsilon;wang;wang_robust
31,3175,11312,0.024656077043973747,44,9.373276570514288e-05,95,0.0002049041854949635,1123,0.0024457712353760535,8555,0.01864628088004168,83,0.00017874620436794688,26,5.449579401461795e-05,0.0066114297298534505,6,yang_harmfulness;yang_refusal;zhao_topk;zhao_relative_epsilon;wang;wang_robust
30,2458,4716,0.010277906751156946,903,0.0019662082480474156,860,0.0018724754823422729,7746,0.016882796985728643,5670,0.012357466250754767,1083,0.002358577964952665,672,0.001462667111352346,0.0067397283991907225,7,siren;yang_harmfulness;yang_refusal;zhao_topk;zhao_relative_epsilon;wang;wang_robust
12,9795,10861,0.023672972919950037,3643,0.007938947272049543,6239,0.013597790522527471,347,0.0007542217891623124,133,0.0002877377923971828,441,0.0009591259746572759,739,0.001608715839311522,0.006974216015722192,6,yang_harmfulness;yang_refusal;zhao_topk;zhao_relative_epsilon;wang;wang_robust
31,13336,1140,0.002482828375305994,2657,0.005789633156113011,876,0.0019073527905116283,1447,0.0031520367258055025,16182,0.03527185771802132,207,0.0004490453426804519,65,0.00013950923267742196,0.007027466191587903,6,siren;yang_harmfulness;yang_refusal;zhao_topk;wang;wang_robust
12,13868,16928,0.03689801221141752,1372,0.0029885493437616486,4083,0.00889807324670682,38,8.065377514163457e-05,14,2.8337812887601334e-05,140,0.0003029966147212758,272,0.0005907344071184586,0.007112479630250709,6,yang_harmfulness;yang_refusal;zhao_topk;zhao_relative_epsilon;wang;wang_robust
15,7922,7124,0.015526941630644947,8310,0.01811222209869842,5046,0.010997251232149903,639,0.0013907326632530501,1325,0.0028860972510141667,264,0.0005732957530337809,496,0.0010790167214894354,0.007223651050040529,7,siren;yang_harmfulness;yang_refusal;zhao_topk;zhao_relative_epsilon;wang;wang_robust
19,10931,13222,0.028819555706690557,1117,0.0024326922448125454,1015,0.002210349405232904,923,0.00200980488325911,5861,0.012773814117026447,453,0.0009852839557842926,736,0.0016021763440297679,0.007261953808119374,6,yang_harmfulness;yang_refusal;zhao_topk;zhao_relative_epsilon;wang;wang_robust
31,4786,15880,0.03461354852632474,1680,0.0036599375260217416,717,0.0015607595405786581,1180,0.0025700216457293827,3875,0.008444668240505198,164,0.00035531257697530904,50,0.00010681175626865118,0.007330151401771955,6,yang_harmfulness;yang_refusal;zhao_topk;zhao_relative_epsilon;wang;wang_robust
29,9923,2925,0.006373828067949716,1269,0.0027640266724214225,5918,0.012898064527379776,5860,0.012771634285265863,6881,0.01499724251282286,490,0.001065937730925927,409,0.0008893713583185649,0.007394300736440589,7,siren;yang_harmfulness;yang_refusal;zhao_topk;zhao_relative_epsilon;wang;wang_robust
30,14261,9519,0.020747638697245347,4023,0.008767283341071736,763,0.0016610318015655551,6272,0.013669724970626768,3093,0.0067400398037279485,169,0.00036621173577823263,147,0.00031825543704536884,0.007467169398151566,6,yang_harmfulness;yang_refusal;zhao_topk;zhao_relative_epsilon;wang;wang_robust
29,4918,8769,0.01911276487680681,281,0.0006103528929637211,1064,0.0023171611615015555,3329,0.0072544800992259415,1757,0.0038277845715867648,5847,0.012743296472378263,3023,0.006587451580487018,0.007493327379278582,7,siren;yang_harmfulness;yang_refusal;zhao_topk;zhao_relative_epsilon;wang;wang_robust
17,14096,14947,0.032579765493699196,2521,0.0054931760366734896,6482,0.014127489640349558,12,2.39781493664319e-05,12,2.39781493664319e-05,40,8.5013438662804e-05,122,0.0002637596430307509,0.007513880078735523,6,yang_harmfulness;yang_refusal;zhao_topk;zhao_relative_epsilon;wang;wang_robust
