variant,layer,neuron_index,rank_siren,rank_yang_harmfulness,rank_wang_robust,rank_zhao_topk,percentile_siren,percentile_yang_harmfulness,percentile_wang_robust,percentile_zhao_topk,consensus_score,n_methods_at_N,methods_that_selected_it_at_N,selection_rank
rank_consensus,29,3400,3976,4693,226,1681,0.008664831248324255,0.010227770620663497,0.0004904621461315616,0.0036621173577823262,0.00576129534322541,1,wang_robust,59
rank_consensus,30,625,3790,1001,285,5546,0.008259382540855497,0.002179831760584718,0.0006190722200060599,0.012087167112442261,0.005786363408472134,1,wang_robust,60
rank_consensus,31,4179,8539,160,194,1924,0.018611403571872322,0.0003465932499329702,0.0004207075297928506,0.004191816475604413,0.0058926302068006385,2,yang_harmfulness;wang_robust,61
rank_consensus,30,3700,9547,767,111,400,0.02080867398654172,0.001669751128607894,0.00023978149366431898,0.0008697528724733025,0.0058969898703218095,2,wang_robust;zhao_topk,62
rank_consensus,31,5253,9689,75,15,1335,0.02111821009654475,0.00016130755028326914,3.0517644648186055e-05,0.002907895568620014,0.006054482715024055,2,yang_harmfulness;wang_robust,63
rank_consensus,31,12525,3292,77,5222,2594,0.0071738263240843075,0.00016566721380443857,0.011380901622012813,0.005652303755196174,0.006093174728774433,1,yang_harmfulness,64
rank_consensus,29,11794,10135,707,97,284,0.022090415061765532,0.001538961222972811,0.00020926384901613293,0.0006168923882454752,0.006113883130499988,2,wang_robust;zhao_topk,65
rank_consensus,31,6575,962,380,390,9602,0.002094818321921914,0.0008261562372616081,0.0008479545548674553,0.02092856473337388,0.006174373461856214,2,yang_harmfulness;wang_robust,66
rank_consensus,24,9648,269,7490,942,2663,0.0005841949118367045,0.016324760055018955,0.0020512216867102197,0.00580271214667652,0.006190722200060599,1,siren,67
rank_consensus,29,11909,9897,1174,241,229,0.02157161510274637,0.0025569426551658742,0.0005231596225403324,0.0004970016414133158,0.006287179755466473,2,wang_robust;zhao_topk,68
rank_consensus,31,7278,7850,188,114,3541,0.017109499488829453,0.00040762853922934227,0.00024632098894607316,0.007716604432469902,0.006370013362368692,2,yang_harmfulness;wang_robust,69
rank_consensus,31,8410,188,666,1286,9817,0.00040762853922934227,0.0014495881207888376,0.0028010838123513626,0.021397228561899594,0.006513882258567284,1,siren,70
rank_consensus,31,1506,4952,193,300,6916,0.01079234704665494,0.00041852769803226586,0.0006517696964148307,0.015073536624443325,0.00673404526638634,2,yang_harmfulness;wang_robust,71
rank_consensus,31,3175,11312,44,26,1123,0.024656077043973747,9.373276570514288e-05,5.449579401461795e-05,0.0024457712353760535,0.006812519209767391,2,yang_harmfulness;wang_robust,72
rank_consensus,31,8990,8922,266,374,3066,0.01944627913617627,0.0005776554165549503,0.0008130772466980998,0.006681184346192161,0.00687954903640537,2,yang_harmfulness;wang_robust,73
rank_consensus,31,1654,9622,235,244,2558,0.02097216136858557,0.0005100806319768241,0.0005296991178220865,0.0055738298118151244,0.006896442732549902,2,yang_harmfulness;wang_robust,74
rank_consensus,30,7305,11850,489,299,23,0.025828826531168324,0.0010637578991653425,0.000649589864654246,4.79562987328638e-05,0.006897532648430194,2,wang_robust;zhao_topk,75
rank_consensus,19,4513,2958,9492,61,167,0.0064457625160490115,0.02068878323970956,0.0001307899056350831,0.0003618520722570632,0.006906796933412679,2,wang_robust;zhao_topk,76
rank_consensus,31,11234,9090,1297,163,2206,0.019812490871954504,0.0028250619617177946,0.0003531327452147243,0.004806529032089303,0.006949303652744082,1,wang_robust,77
rank_consensus,31,6099,9345,477,222,2774,0.020368347970903606,0.0010375999180383259,0.0004817428190892227,0.0060446734721014235,0.006983091045033145,1,wang_robust,78
rank_consensus,30,10111,689,748,408,11036,0.001499724251282286,0.0016283343251567845,0.0008871915265579802,0.024054443478052363,0.007017423395262353,1,wang_robust,79
rank_consensus,31,8118,11186,216,54,1492,0.02438141824214007,0.00046866382852571437,0.00011553108331099005,0.0032501291550318147,0.007053935577252147,2,yang_harmfulness;wang_robust,80
rank_consensus,31,5542,101,2221,7868,2808,0.0002179831760584718,0.004839226508498074,0.017148736460519978,0.006118787751961304,0.007081183474259457,1,siren,81
rank_consensus,30,8726,12169,135,151,562,0.026524192862794848,0.00029209745591835223,0.0003269747640877077,0.0012228856176880268,0.0070915376751222335,2,yang_harmfulness;wang_robust,82
rank_consensus,31,5919,9278,505,240,3387,0.02022229924294443,0.001098635207334698,0.0005209797907797476,0.007380910341339856,0.007305706145599684,1,wang_robust,83
rank_consensus,29,3438,4024,6097,242,3056,0.008769463172832321,0.013288254412524441,0.0005253394543009171,0.006659386028586314,0.0073106107670609976,1,wang_robust,84
rank_consensus,31,13869,12416,71,24,1050,0.027062611307659273,0.00015258822324093027,5.0136130493448515e-05,0.0022866435168533692,0.007387994794561756,2,yang_harmfulness;wang_robust,85
rank_consensus,31,4261,10095,311,394,2936,0.022003221791342144,0.0006757478457812626,0.0008566738819097942,0.0063978062173161475,0.007483362434087337,2,yang_harmfulness;wang_robust,86
rank_consensus,31,2800,10404,1028,333,2070,0.02267678980536282,0.0022386872181205057,0.0007237041445141264,0.004510071912649781,0.007537313270161808,1,wang_robust,87
rank_consensus,31,7450,12594,7,76,1188,0.027450621361043356,1.3078990563508308e-05,0.00016348738204385386,0.0025874602998140605,0.007553662008366196,2,yang_harmfulness;wang_robust,88
rank_consensus,31,14299,7999,947,329,4607,0.017434294421156574,0.002062120845513143,0.0007149848174717875,0.010040305089253212,0.007562926293348679,1,wang_robust,89
rank_consensus,31,6159,10778,429,36,2814,0.023492046883821508,0.0009329679935302593,7.629411162046513e-05,0.006131866742524812,0.0076582939328742605,2,yang_harmfulness;wang_robust,90
