layer,neuron_index,rank_siren,percentile_siren,rank_yang_harmfulness,percentile_yang_harmfulness,rank_wang_robust,percentile_wang_robust,rank_zhao_topk,percentile_zhao_topk,consensus_score,n_methods_at_N,methods_that_selected_it_at_N
31,4786,15880,0.03461354852632474,1680,0.0036599375260217416,50,0.00010681175626865118,1180,0.0025700216457293827,0.01023757986358613,1,wang_robust
31,1190,8149,0.01776126918524428,563,0.0012250654494486116,256,0.0005558570989491031,9900,0.021578154598028126,0.010280086582917531,1,wang_robust
31,3548,16146,0.03519338377464027,103,0.00022234283957964124,216,0.00046866382852571437,2517,0.00548445670963115,0.010342211788094195,2,yang_harmfulness;wang_robust
16,5033,16312,0.035555235846897335,1699,0.0037013543294728514,967,0.0021057174807248375,89,0.0001918251949314552,0.010388533213006618,1,zhao_topk
31,14073,17901,0.03901898851446645,67,0.0001438688961985914,113,0.00024414115718548844,1181,0.0025722014774899674,0.010494800011335126,2,yang_harmfulness;wang_robust
31,5099,15562,0.033920362026458796,2577,0.005615246615266234,319,0.0006931864998659403,813,0.001770023389594791,0.010499704632796439,1,wang_robust
18,1454,64,0.00013732940091683724,19351,0.0421797445673143,86,0.00018528569964970103,92,0.00019836469021320934,0.010675181089523512,3,siren;wang_robust;zhao_topk
31,2653,15278,0.033301289806452736,1763,0.0038408635621502733,162,0.0003509529134541396,2530,0.005512794522518752,0.010751475201143975,1,wang_robust
28,2807,29,6.103528929637211e-05,3994,0.00870406822001478,3,4.359663521169436e-06,15788,0.03441300400435095,0.010795616794295818,2,siren;wang_robust
30,14261,9519,0.020747638697245347,4023,0.008767283341071736,147,0.00031825543704536884,6272,0.013669724970626768,0.010875725611497305,1,wang_robust
31,7944,16658,0.036309457636059646,526,0.001144411674306977,177,0.0003836503898629104,2628,0.005726418035056054,0.010890984433821397,1,wang_robust
2,3328,17153,0.037388474357549085,2215,0.004826147517934566,224,0.0004861024826103921,402,0.0008741125359944719,0.01089370922352213,2,wang_robust;zhao_topk
31,7892,5484,0.011952017543286009,1775,0.00386702154327729,434,0.0009438671523331829,12918,0.028156886851472804,0.01122994827259232,1,wang_robust
31,8682,7826,0.01705718352657542,1207,0.00262887710326517,396,0.0008610335454309636,11338,0.02471275266974895,0.011314961711255126,1,wang_robust
31,3428,18732,0.040830428707512356,196,0.00042506719331402,324,0.0007040856586688639,1706,0.0037166131517969445,0.011419048677823045,2,yang_harmfulness;wang_robust
31,2188,16714,0.03643152821465239,236,0.0005122604637374088,2672,0.005822330632521782,1464,0.0031890938657354426,0.011488803294161756,1,yang_harmfulness
12,10867,297,0.0006452302011330766,2624,0.005717698708013716,858,0.0018681158188211034,17319,0.03775032642980615,0.011495342789443511,1,siren
13,10677,6042,0.013168363665692281,9264,0.020191781598296245,454,0.0009874637875448772,5341,0.011640301601522395,0.01149697766326395,1,wang_robust
30,635,12998,0.02833127339231958,137,0.00029645711943952167,3461,0.007542217891623125,4716,0.010277906751156946,0.011611963788634792,1,yang_harmfulness
3,13690,259,0.0005623965942308573,20193,0.044015162909726624,719,0.0015651192040998275,169,0.00036621173577823263,0.011627222610958887,2,siren;zhao_topk
30,5336,14478,0.031557424397984965,1000,0.0021776519288241336,225,0.0004882823143709769,5668,0.012353106587233598,0.011644116307103419,1,wang_robust
27,462,8098,0.017650097765454464,11536,0.025144359358344723,458,0.0009961831145872161,1435,0.003125878744678486,0.011729129745766223,1,wang_robust
31,5615,18157,0.03957702544517614,76,0.00016348738204385386,283,0.0006147125564848905,3106,0.006768377616615549,0.011780900750080108,2,yang_harmfulness;wang_robust
21,12373,4398,0.009584720251291005,15147,0.03301573184581614,372,0.0008087175831769304,1718,0.003742771132923961,0.01178798520330201,1,wang_robust
31,1165,16623,0.036233163524439185,455,0.000989643619305462,2376,0.005177100431388706,2202,0.0047978097050469645,0.01179942932004508,1,yang_harmfulness
31,12863,10559,0.023014663728253452,136,0.00029427728767893695,823,0.0017918217072006382,10213,0.02226044193909114,0.011840301165556042,1,yang_harmfulness
29,12988,17912,0.03904296666383288,296,0.0006430503693724918,3465,0.007550937218665463,101,0.0002179831760584718,0.011863734356982326,2,yang_harmfulness;zhao_topk
31,11652,10425,0.022722566272335102,198,0.00042942685683518945,616,0.0013405965327596015,10661,0.023237006567833094,0.011932399057440746,1,yang_harmfulness
14,9318,12199,0.02658958781561239,9255,0.020172163112450982,265,0.0005754755847943656,217,0.0004708436602862991,0.011952017543286009,2,wang_robust;zhao_topk
31,2657,18035,0.0393110859703848,165,0.00035749240873589376,2470,0.005382004616883669,1322,0.0028795577557324125,0.011982535187934195,1,yang_harmfulness
31,12032,17486,0.038114358333823796,2868,0.006249577657596386,315,0.0006844671728236015,1395,0.003038685474255097,0.012021772159624721,1,wang_robust
31,6467,12556,0.027367787754141136,80,0.00017220670908619273,821,0.0017874620436794688,8724,0.019014672447580497,0.012085532238621823,1,yang_harmfulness
31,13909,10604,0.023112756157479767,260,0.000564576425991442,609,0.0013253377104355086,10962,0.023893135927769094,0.012223951555418952,1,yang_harmfulness
25,13410,4691,0.010223410957142328,13083,0.028516559091969283,343,0.0007455024621199736,4395,0.00957818075600925,0.01226591331681021,1,wang_robust
