layer,neuron_index,score,rank
7,5400,0.22816581046861617,131630
11,8504,0.22816025910335452,131631
20,7802,0.22815455420053865,131632
0,11609,0.22815264574040858,131633
28,13683,0.2281520914026854,131634
16,7410,0.2281492979640974,131635
15,4846,0.22814727007693614,131636
24,11671,0.22814485465741408,131637
19,4407,0.22814226368023258,131638
28,13537,0.22813675689300786,131639
0,8014,0.22813530062919102,131640
1,2677,0.22813515916530422,131641
18,8916,0.2281335032974801,131642
30,6971,0.2281323716055595,131643
21,14130,0.22813167808079546,131644
14,10804,0.22812698689854827,131645
2,12023,0.2281267072185661,131646
28,1721,0.22812428953995625,131647
3,9906,0.22812252837838606,131648
29,14226,0.22812238171124588,131649
26,5398,0.22812105953071932,131650
18,1681,0.22811996390773756,131651
17,2227,0.22811504750377448,131652
10,12606,0.22811484813163652,131653
16,6710,0.2281125333155619,131654
7,13281,0.22810891840553582,131655
19,13145,0.22810549343775693,131656
27,2203,0.22810343030343097,131657
21,4514,0.22810133116807516,131658
5,8493,0.22809969495240115,131659
23,9122,0.22809712199445978,131660
7,13866,0.228093173445322,131661
30,3454,0.22809157078973938,131662
21,3587,0.228089980711706,131663
20,3994,0.22808983841398944,131664
14,7473,0.22808439294702026,131665
4,4532,0.22808380184502935,131666
0,13508,0.22807979916577958,131667
17,205,0.22807283450419713,131668
8,12237,0.2280642084874669,131669
23,12760,0.22806417549004387,131670
9,4939,0.22806222346257615,131671
16,10254,0.22806160613870413,131672
14,3261,0.22806118494329777,131673
31,366,0.2280608982003303,131674
27,13785,0.2280565478867787,131675
28,11937,0.22804016622594744,131676
18,3344,0.2280399826959534,131677
14,8531,0.228039970750638,131678
10,9374,0.22803781888238206,131679
18,12977,0.22803717650134434,131680
0,11082,0.22803304188695722,131681
31,10981,0.22803208449480653,131682
1,5988,0.2280303338054891,131683
1,4920,0.22802962341908176,131684
3,8524,0.22802383217677,131685
17,10475,0.22802130820459746,131686
7,8015,0.22801786797161652,131687
23,1563,0.22801751544482118,131688
28,4843,0.22801711642175615,131689
15,1150,0.22801366791403382,131690
25,12862,0.228013626120319,131691
29,6190,0.22801337527571347,131692
14,10770,0.22801293246962484,131693
25,8108,0.22801073785849582,131694
29,8425,0.22800916756533618,131695
17,4074,0.22800714005424996,131696
21,330,0.22800255279281684,131697
25,4287,0.22800243230495484,131698
31,11092,0.22799976970632618,131699
7,13356,0.22799874006364618,131700
12,151,0.22799807840959946,131701
8,11188,0.22799744601968616,131702
10,8395,0.2279960961424324,131703
0,7328,0.22799300461152092,131704
3,11970,0.22798964664092344,131705
19,7371,0.2279888525693253,131706
1,6797,0.22798817071701183,131707
1,14089,0.22798578861973415,131708
0,1890,0.227980489930659,131709
5,5509,0.2279801957488293,131710
18,9754,0.22798000339149868,131711
12,11482,0.2279743982434947,131712
2,3832,0.2279740382105805,131713
21,2166,0.22797138119748792,131714
24,1048,0.2279704728018008,131715
25,4901,0.22796788799456677,131716
6,11571,0.22796554339835742,131717
0,3103,0.2279647892432548,131718
0,3984,0.22796391162364635,131719
21,12402,0.2279626489576242,131720
8,8009,0.22796178313156587,131721
0,5935,0.22796138667695418,131722
0,5041,0.22796054911772645,131723
0,13380,0.22796022037181093,131724
23,10114,0.22795886689708092,131725
21,12967,0.22795831056394136,131726
31,1767,0.22795729336481282,131727
6,625,0.22795706561183807,131728
0,4596,0.2279516172833477,131729
1,2141,0.22794875599984596,131730
17,9922,0.2279476108719981,131731
0,7819,0.2279451551499043,131732
10,13975,0.22794165456475363,131733
0,6466,0.22793908013322275,131734
22,11746,0.22793628839169247,131735
6,3428,0.22793545384970562,131736
17,9324,0.22793185505824737,131737
30,11229,0.22793152152613458,131738
20,1532,0.22793022170246552,131739
1,67,0.22792883786737622,131740
3,13042,0.22792653215420441,131741
9,6980,0.2279231247828681,131742
5,7432,0.2279161433939481,131743
5,9765,0.2279120170282443,131744
0,8773,0.22790902893260817,131745
28,11763,0.22790891227577173,131746
4,6559,0.22790734240199984,131747
22,11701,0.2279068391957281,131748
12,4070,0.22790307030943543,131749
