global_rank,layer,neuron_index,layer_rank,abs_weight,entry_threshold
284938,11,2125,8707,0.0013857363,0.98365714
284939,26,11082,8815,0.0040314957,0.98365724
284940,4,9776,9312,0.001112952,0.98365732
284941,31,6164,9755,0.00063810952,0.98365752
284942,2,8751,6795,0.0034340736,0.98365776
284943,22,4651,9407,0.001345354,0.983658
284944,0,2006,7007,0.0092762951,0.98365808
284945,5,8662,7443,0.0050490377,0.98365817
284946,6,11772,8801,0.0013119557,0.98365833
284947,28,8361,10278,0.0014935818,0.98365838
284948,9,548,8953,0.0015128944,0.98365853
284949,3,7726,6187,0.0044124285,0.98365864
284950,23,13864,9427,0.0014750281,0.98365869
284951,1,12322,7573,0.0020500559,0.9836588
284952,12,12950,8699,0.0013319178,0.98365891
284953,25,3155,9586,0.0015272639,0.98365981
284954,16,6230,9227,0.0014167537,0.98365984
284955,13,6147,8713,0.0013734511,0.98365987
284956,18,4212,9242,0.0014431425,0.98365994
284957,19,548,9116,0.0013567883,0.98366016
284958,29,6121,10385,0.0012907608,0.98366022
284959,7,8566,8582,0.0013238426,0.98366057
284960,14,12211,8911,0.001454931,0.98366058
284961,8,1556,8804,0.0014350407,0.98366065
284962,15,13630,9197,0.0014564719,0.98366117
284963,27,3282,9717,0.0015300263,0.98366141
284964,10,11569,8884,0.0013861362,0.98366244
284965,2,5440,6796,0.0034322604,0.98366265
284966,24,7664,9475,0.0014628206,0.98366265
284967,11,1809,8708,0.0013856274,0.98366318
284968,21,6812,9404,0.0014891331,0.98366327
284969,20,7670,9165,0.0012946088,0.98366349
284970,3,13075,6188,0.0044098906,0.98366349
284971,0,5215,7008,0.0092714531,0.98366372
284972,17,6913,9321,0.0014299204,0.98366372
284973,26,6894,8816,0.00403124,0.98366389
284974,5,11262,7444,0.0050484124,0.98366389
284975,1,12720,7574,0.0020492203,0.98366397
284976,4,7743,9313,0.0011128291,0.98366408
284977,30,1586,10081,0.001121947,0.98366441
284978,6,6992,8802,0.001311917,0.98366442
284979,31,5211,9756,0.00063803367,0.9836648
284980,22,10155,9408,0.0013453392,0.9836648
284981,9,6721,8954,0.0015126525,0.98366484
284982,12,4224,8700,0.0013313439,0.9836649
284983,23,1426,9428,0.0014748721,0.9836656
284984,13,7791,8714,0.0013731187,0.98366581
284985,16,4370,9228,0.0014161846,0.98366636
284986,7,9367,8583,0.0013234597,0.98366652
284987,28,4285,10279,0.0014934526,0.98366652
284988,19,5025,9117,0.0013561976,0.98366656
284989,18,2108,9243,0.0014430035,0.98366661
284990,14,5747,8912,0.0014547417,0.98366678
284991,25,2094,9587,0.0015269498,0.98366679
284992,8,1726,8805,0.0014350113,0.9836668
284993,2,8442,6797,0.0034315789,0.98366753
284994,15,7243,9198,0.0014563868,0.98366767
284995,3,636,6189,0.0044098026,0.98366835
284996,29,4599,10386,0.0012906321,0.98366854
284997,10,2815,8885,0.0013858116,0.98366863
284998,27,3514,9718,0.0015295428,0.9836687
284999,1,3681,7575,0.0020492035,0.98366914
285000,11,13311,8709,0.0013853309,0.98366922
285001,0,8898,7009,0.0092703896,0.98366935
285002,24,5837,9476,0.0014623402,0.98366956
285003,5,415,7445,0.0050411755,0.98366961
285004,20,8562,9166,0.0012942021,0.98367001
285005,21,5793,9405,0.0014891314,0.98367005
285006,17,5281,9322,0.0014295704,0.9836704
285007,6,11868,8803,0.0013110847,0.98367051
285008,26,13612,8817,0.0040289927,0.98367053
285009,4,10032,9314,0.001112798,0.98367085
285010,12,2443,8701,0.0013306403,0.9836709
285011,9,11890,8955,0.0015125546,0.98367115
