rank,neuron_id,layer,neuron_idx,score,importance
127,447909,31,3493,-0.00043080089380964637,0.00043080089380964637
128,447582,31,3166,0.00042965373722836375,0.00042965373722836375
129,436028,30,5948,-0.00042615729034878314,0.00042615729034878314
130,448480,31,4064,0.0004229281621519476,0.0004229281621519476
131,448576,31,4160,0.0004228497564326972,0.0004228497564326972
132,456601,31,12185,-0.00042220670729875565,0.00042220670729875565
133,435606,30,5526,0.00042056318488903344,0.00042056318488903344
134,443045,30,12965,-0.0004183723358437419,0.0004183723358437419
135,446604,31,2188,0.00041569978930056095,0.00041569978930056095
136,448287,31,3871,0.0004145042912568897,0.0004145042912568897
137,445575,31,1159,0.00041413260623812675,0.00041413260623812675
138,438796,30,8716,0.0004138335061725229,0.0004138335061725229
139,456420,31,12004,0.0004074321186635643,0.0004074321186635643
140,449077,31,4661,-0.0004060630453750491,0.0004060630453750491
141,456668,31,12252,0.0004043829976581037,0.0004043829976581037
142,456941,31,12525,0.0004017515748273581,0.0004017515748273581
143,449669,31,5253,0.0004004200454801321,0.0004004200454801321
144,431210,30,1130,0.0003980676701758057,0.0003980676701758057
145,444790,31,374,0.00039776507765054703,0.00039776507765054703
146,449727,31,5311,-0.0003971060796175152,0.0003971060796175152
147,437755,30,7675,-0.0003962268528994173,0.0003962268528994173
148,438619,30,8539,-0.00039538773125968874,0.00039538773125968874
149,449289,31,4873,-0.00039528627530671656,0.00039528627530671656
150,448227,31,3811,-0.00039257315802387893,0.00039257315802387893
151,454079,31,9663,0.00039256326272152364,0.00039256326272152364
152,432872,30,2792,-0.000387650856282562,0.000387650856282562
153,454411,31,9995,-0.00038698219577781856,0.00038698219577781856
154,416995,29,1251,0.00038253472303040326,0.00038253472303040326
155,455660,31,11244,-0.0003803226863965392,0.0003803226863965392
156,457531,31,13115,0.00038003275403752923,0.00038003275403752923
157,450335,31,5919,0.00037475035060197115,0.00037475035060197115
158,453771,31,9355,0.00037432380486279726,0.00037432380486279726
159,456394,31,11978,0.00037317239912226796,0.00037317239912226796
160,454241,31,9825,0.00037176828482188284,0.00037176828482188284
161,457518,31,13102,-0.0003693190519697964,0.0003693190519697964
