rank,neuron_id,layer,neuron_idx,score,importance
273,446128,31,1712,0.07900092005729675,0.07900092005729675
274,446209,31,1793,0.0786876454949379,0.0786876454949379
275,450682,31,6266,0.07858891040086746,0.07858891040086746
276,455766,31,11350,0.07854162156581879,0.07854162156581879
277,452798,31,8382,0.07853395491838455,0.07853395491838455
278,454003,31,9587,0.07849401980638504,0.07849401980638504
279,448046,31,3630,0.07848461717367172,0.07848461717367172
280,442983,30,12903,0.0783652663230896,0.0783652663230896
281,445474,31,1058,0.07827869802713394,0.07827869802713394
282,456449,31,12033,0.07823138684034348,0.07823138684034348
283,448032,31,3616,0.07815083116292953,0.07815083116292953
284,455758,31,11342,0.07781264185905457,0.07781264185905457
285,446604,31,2188,0.07638338953256607,0.07638338953256607
286,444832,31,416,0.07636871188879013,0.07636871188879013
287,455113,31,10697,0.07624757289886475,0.07624757289886475
288,452014,31,7598,0.07614386826753616,0.07614386826753616
289,453954,31,9538,0.07580261677503586,0.07580261677503586
290,451107,31,6691,0.07575201988220215,0.07575201988220215
291,449289,31,4873,0.07573272287845612,0.07573272287845612
292,431857,30,1777,0.07547907531261444,0.07547907531261444
293,416990,29,1246,0.07545951753854752,0.07545951753854752
294,455904,31,11488,0.07521088421344757,0.07521088421344757
295,454516,31,10100,0.0751107707619667,0.0751107707619667
296,443687,30,13607,0.07491780817508698,0.07491780817508698
297,443593,30,13513,0.07476072758436203,0.07476072758436203
298,453375,31,8959,0.07462594658136368,0.07462594658136368
299,447582,31,3166,0.07458141446113586,0.07458141446113586
300,451929,31,7513,0.07438239455223083,0.07438239455223083
301,451520,31,7104,0.07427073270082474,0.07427073270082474
302,451531,31,7115,0.07414162158966064,0.07414162158966064
303,458405,31,13989,0.07411496341228485,0.07411496341228485
304,445090,31,674,0.07396179437637329,0.07396179437637329
305,452199,31,7783,0.07390916347503662,0.07390916347503662
306,435104,30,5024,0.07347044348716736,0.07347044348716736
307,442096,30,12016,0.0733722373843193,0.0733722373843193
308,456588,31,12172,0.07329898327589035,0.07329898327589035
309,428732,29,12988,0.0731404647231102,0.0731404647231102
310,444689,31,273,0.07290399074554443,0.07290399074554443
311,454908,31,10492,0.07286632806062698,0.07286632806062698
312,424972,29,9228,0.07283187657594681,0.07283187657594681
313,456401,31,11985,0.07272550463676453,0.07272550463676453
314,447062,31,2646,0.07265724241733551,0.07265724241733551
315,457526,31,13110,0.07252676039934158,0.07252676039934158
316,452826,31,8410,0.07233952730894089,0.07233952730894089
317,457032,31,12616,0.07210878282785416,0.07210878282785416
318,449751,31,5335,0.07209590077400208,0.07209590077400208
319,439291,30,9211,0.07201571762561798,0.07201571762561798
320,454234,31,9818,0.07145390659570694,0.07145390659570694
321,458325,31,13909,0.07142111659049988,0.07142111659049988
322,453531,31,9115,0.07140844315290451,0.07140844315290451
323,441383,30,11303,0.0713144838809967,0.0713144838809967
324,451725,31,7309,0.0712251365184784,0.0712251365184784
325,444703,31,287,0.07107533514499664,0.07107533514499664
326,438796,30,8716,0.07098768651485443,0.07098768651485443
327,445935,31,1519,0.07097329199314117,0.07097329199314117
328,457478,31,13062,0.07074116915464401,0.07074116915464401
329,440805,30,10725,0.07069247961044312,0.07069247961044312
330,457708,31,13292,0.07058943063020706,0.07058943063020706
331,448614,31,4198,0.07047402113676071,0.07047402113676071
332,448431,31,4015,0.07040376216173172,0.07040376216173172
333,447073,31,2657,0.07018038630485535,0.07018038630485535
334,452089,31,7673,0.07013978809118271,0.07013978809118271
335,434577,30,4497,0.06990257650613785,0.06990257650613785
336,455199,31,10783,0.06982879340648651,0.06982879340648651
337,455440,31,11024,0.06959909945726395,0.06959909945726395
338,436974,30,6894,0.06942838430404663,0.06942838430404663
339,447459,31,3043,0.06924889236688614,0.06924889236688614
340,448346,31,3930,0.06922771036624908,0.06922771036624908
341,448790,31,4374,0.06918647885322571,0.06918647885322571
342,456054,31,11638,0.06857061386108398,0.06857061386108398
343,438642,30,8562,0.06774283945560455,0.06774283945560455
344,457446,31,13030,0.06771178543567657,0.06771178543567657
345,454649,31,10233,0.06722743064165115,0.06722743064165115
346,451150,31,6734,0.06700622290372849,0.06700622290372849
347,454036,31,9620,0.06685291975736618,0.06685291975736618
