method_a,method_b,layer_a,layer_b,cka,null_mean,null_std,z
siren,wang,8,8,0.6679025616334703,0.287512591136322,0.0176057592549388,21.605996366810512
siren,wang,8,9,0.4968351664729124,0.29389118066393466,0.017583372019008642,11.541812661961744
siren,wang,8,10,0.49535141413947203,0.28019681922885076,0.017850570274469353,12.05309363243955
siren,wang,8,11,0.5097273711736762,0.2924276316646463,0.019037016338852086,11.41459016692386
siren,wang,8,12,0.49404773114960265,0.29530005390494685,0.02031495216405896,9.783319972383616
siren,wang,8,13,0.45032048884491543,0.2878922942463518,0.022939019058992323,7.08086924645063
siren,wang,8,14,0.47469008380643124,0.27604228988040164,0.0224565060006016,8.845890537054514
siren,wang,8,15,0.4227723734018135,0.26345084784476613,0.009558239693707582,16.66850075562894
siren,wang,8,16,0.40730413256449244,0.24320255689688736,0.012546695934172824,13.079266169242981
siren,wang,8,17,0.37495351765437973,0.23575853944765282,0.017596783280291996,7.910251322048285
siren,wang,8,18,0.41354345647334945,0.24099318258379335,0.021410096646647815,8.059294487891643
siren,wang,8,19,0.3681654769592226,0.22927854435884304,0.017274919322155642,8.039802097498224
siren,wang,8,20,0.3604146886002829,0.20528034938454925,0.015415005816832817,10.063852135970697
siren,wang,8,21,0.38107452301084793,0.21419338989757794,0.017305705958071998,9.643127735880123
siren,wang,8,22,0.3065025098059321,0.1855863305430144,0.01238236676242123,9.765191225790659
siren,wang,8,23,0.31257430146270304,0.16934348686777756,0.015879234025270833,9.020007789228522
siren,wang,8,24,0.349161596114686,0.18264967579954966,0.012375491130443656,13.4549747206006
siren,wang,8,25,0.3223433165547139,0.1894307539275333,0.012255430881936301,10.845197032042744
siren,wang,8,26,0.3544619471079577,0.17295500555531498,0.012635750406764658,14.364555780990372
siren,wang,8,27,0.36103175679253235,0.20021875883491833,0.014985578266726187,10.7311840154131
siren,wang,8,28,0.37639895366099974,0.186792404756899,0.013400761908062357,14.148937963745698
siren,wang,8,29,0.33813010898957113,0.19904563663295094,0.009481309254032035,14.669331906611202
siren,wang,8,30,0.38478596653381486,0.23491091415769932,0.020381010064393322,7.353661663606898
siren,wang,8,31,0.373552585005207,0.23328315187547516,0.008471189924180118,16.558409666786897
siren,wang,9,0,0.2452084016477891,0.13379249238318722,0.017279904110550144,6.447715713687181
siren,wang,9,2,0.2812464126586024,0.15851943958370715,0.012440164247382444,9.865382050781076
siren,wang,9,3,0.3747789043963702,0.21232293190073886,0.011189407328141473,14.518728984604296
siren,wang,9,4,0.3335732472947768,0.21410388651893855,0.005114347636513364,23.359648046389903
siren,wang,9,5,0.37025264512924516,0.2288134489560269,0.00513482486977958,27.545086689449207
siren,wang,9,6,0.4344708902408457,0.24957966368690498,0.004367299923494666,42.33536276253561
siren,wang,9,7,0.47526078281914164,0.2561647444378211,0.009421500597702291,23.25489831574744
siren,wang,9,8,0.48834185629469196,0.28551519143119436,0.008553631921592036,23.71234426764376
siren,wang,9,9,0.6519696558584055,0.2966488090189569,0.006372512274141772,55.75836209547387
siren,wang,9,10,0.5322408687474024,0.2841263685872902,0.00813039727025351,30.516897503629103
siren,wang,9,11,0.4826970630065698,0.2969817775120915,0.007055552352328004,26.321863437552256
siren,wang,9,12,0.49153465381851724,0.29520917663582213,0.005785516246480027,33.933960051039826
siren,wang,9,13,0.46721191295636344,0.29090212949641503,0.006877612061634565,25.63531962546399
siren,wang,9,14,0.4662815242539239,0.27738817194105425,0.006677005182248114,28.290131152671982
siren,wang,9,15,0.4314866236711263,0.26730559673445037,0.01102694890180894,14.889071165437475
siren,wang,9,16,0.4141037269066241,0.24674419307039203,0.014030298256689494,11.928437355666112
siren,wang,9,17,0.41841185125563385,0.24300456580799867,0.013783667352135555,12.72573408559941
siren,wang,9,18,0.42986187758952144,0.24516420148624044,0.012011926323353248,15.376191222901276
siren,wang,9,19,0.3865554271581739,0.23278363452234516,0.009552926189144214,16.096826207091652
siren,wang,9,20,0.36488872272184925,0.2143958487321953,0.01471317588639309,10.228442530129165
siren,wang,9,21,0.3832621627417856,0.22673826659764354,0.006040657882226315,25.911730012833367
siren,wang,9,22,0.33978881067124117,0.19403883755270335,0.013565764923405034,10.743955386332486
siren,wang,9,23,0.3237822695631559,0.17543043609831152,0.009143948252393624,16.22404560590226
siren,wang,9,24,0.37310859589462714,0.1977799745144476,0.006775112535746664,25.878333452782584
siren,wang,9,25,0.33759217955851556,0.19849904182659933,0.0050570642788690745,27.504720142300034
siren,wang,9,26,0.32136217694937025,0.181031084083558,0.011447932938330217,12.25820360948767
siren,wang,9,27,0.36016254276855886,0.20905226846675315,0.008913810212747822,16.95237734428088
siren,wang,9,28,0.34801743541345936,0.19474548691502197,0.01184154074419319,12.943581566748255
