variant,layer,neuron_index,rank_siren,rank_yang_harmfulness,percentile_siren,percentile_yang_harmfulness,consensus_score,n_methods_at_N,methods_that_selected_it_at_N,selection_rank
rank_consensus,31,3387,7775,25,0.016946012106785598,5.231596225403323e-05,0.008499164034519816,1,yang_harmfulness,130
rank_consensus,31,5850,7502,306,0.01635091803614597,0.000664848686978339,0.008507883361562154,1,yang_harmfulness,131
rank_consensus,13,13879,98,7815,0.00021144368077671765,0.017033205377208985,0.008622324528992852,1,siren,132
rank_consensus,31,7278,7850,188,0.017109499488829453,0.00040762853922934227,0.008758564014029397,1,yang_harmfulness,133
rank_consensus,31,7598,7700,345,0.016782524724741746,0.000749862125641143,0.008766193425191445,1,yang_harmfulness,134
rank_consensus,10,4789,11,8169,2.179831760584718e-05,0.017804865820455977,0.008913332069030912,1,siren,135
rank_consensus,31,12814,8198,79,0.017868080941512935,0.000170026877325608,0.009019053909419272,1,yang_harmfulness,136
rank_consensus,31,4046,8223,111,0.01792257673552755,0.00023978149366431898,0.009081179114595935,1,yang_harmfulness,137
rank_consensus,30,5948,8135,377,0.017730751540596095,0.000819616741979854,0.009275184141287975,1,yang_harmfulness,138
rank_consensus,31,9445,8121,443,0.017700233895947912,0.0009634856381784453,0.009331859767063178,1,yang_harmfulness,139
rank_consensus,30,3727,8427,172,0.018367262414686836,0.0003727512310599868,0.009370006822873412,1,yang_harmfulness,140
rank_consensus,31,4179,8539,160,0.018611403571872322,0.0003465932499329702,0.009478998410902646,1,yang_harmfulness,141
rank_consensus,31,3444,8347,363,0.018192875873840057,0.0007890990973316679,0.009490987485585863,1,yang_harmfulness,142
rank_consensus,27,13333,361,8363,0.0007847394338104985,0.018227753182009414,0.009506246307909956,1,siren,143
rank_consensus,29,3490,8510,252,0.018548188450815364,0.0005471377719067643,0.009547663111361064,1,yang_harmfulness,144
rank_consensus,31,2266,8662,123,0.018879522878424242,0.0002659394747913356,0.009572731176607788,1,yang_harmfulness,145
rank_consensus,31,3474,8492,328,0.01850895147912484,0.0007128049857112028,0.009610878232418022,1,yang_harmfulness,146
rank_consensus,31,5021,8807,143,0.01919559848370903,0.00030953611000302997,0.00975256729685603,1,yang_harmfulness,147
rank_consensus,31,5144,8905,97,0.01940922199624633,0.00020926384901613293,0.009809242922631231,1,yang_harmfulness,148
rank_consensus,30,2762,8681,322,0.018920939681875353,0.0006997259951476945,0.009810332838511524,1,yang_harmfulness,149
rank_consensus,30,5542,8809,225,0.019199958147230196,0.0004882823143709769,0.009844120230800587,1,yang_harmfulness,150
rank_consensus,29,4918,8769,281,0.01911276487680681,0.0006103528929637211,0.009861558884885265,1,yang_harmfulness,151
rank_consensus,31,11808,9000,61,0.019616306013501877,0.0001307899056350831,0.00987354795956848,1,yang_harmfulness,152
rank_consensus,14,5718,278,8814,0.0006038133976819669,0.01921085730603312,0.009907335351857543,1,siren,153
rank_consensus,31,8732,8763,384,0.0190996858862433,0.000834875564303947,0.009967280725273623,1,yang_harmfulness,154
rank_consensus,31,8990,8922,266,0.01944627913617627,0.0005776554165549503,0.01001196727636561,1,yang_harmfulness,155
rank_consensus,26,8842,436,8918,0.0009482268158543523,0.01943755980913393,0.010192893312494141,1,siren,156
rank_consensus,31,7673,9461,155,0.020621208455131435,0.0003356940911300466,0.01047845127313074,1,yang_harmfulness,157
rank_consensus,31,13115,9298,404,0.020265895878156123,0.0008784721995156414,0.010572184038835883,1,yang_harmfulness,158
rank_consensus,12,5006,158,9587,0.00034223358641180074,0.020895867256965107,0.010619050421688455,1,siren,159
rank_consensus,31,5253,9689,75,0.02111821009654475,0.00016130755028326914,0.01063975882341401,1,yang_harmfulness,160
rank_consensus,30,10139,9459,333,0.020616848791610264,0.0007237041445141264,0.010670276468062194,1,yang_harmfulness,161
rank_consensus,31,1654,9622,235,0.02097216136858557,0.0005100806319768241,0.010741121000281198,1,yang_harmfulness,162
rank_consensus,30,6894,9723,214,0.021192324376404628,0.00046430416500454493,0.010828314270704586,1,yang_harmfulness,163
rank_consensus,19,14292,362,9898,0.0007869192655710832,0.021573794934506955,0.011180357100039019,1,siren,164
rank_consensus,31,5604,10180,164,0.022188507490991844,0.00035531257697530904,0.011271910033983576,1,yang_harmfulness,165
rank_consensus,31,4261,10095,311,0.022003221791342144,0.0006757478457812626,0.011339484818561703,1,yang_harmfulness,166
rank_consensus,31,4577,10380,37,0.02262447384310879,7.847394338104985e-05,0.01135147389324492,1,yang_harmfulness,167
rank_consensus,30,3364,10062,387,0.021931287343242848,0.0008414150595857012,0.011386351201414275,1,yang_harmfulness,168
rank_consensus,28,7903,10296,301,0.022441367975219673,0.0006539495281754154,0.011547658751697543,1,yang_harmfulness,169
rank_consensus,31,11652,10425,198,0.022722566272335102,0.00042942685683518945,0.011575996564585146,1,yang_harmfulness,170
rank_consensus,31,12863,10559,136,0.023014663728253452,0.00029427728767893695,0.011654470507966194,1,yang_harmfulness,171
rank_consensus,31,6588,10290,423,0.022428288984656163,0.000919889002966751,0.011674088993811458,1,yang_harmfulness,172
rank_consensus,31,8959,10470,244,0.022820658701561414,0.0005296991178220865,0.01167517890969175,1,yang_harmfulness,173
rank_consensus,31,13909,10604,260,0.023112756157479767,0.000564576425991442,0.011838666291735604,1,yang_harmfulness,174
rank_consensus,30,9457,10675,219,0.02326752421248128,0.0004752033238074685,0.011871363768144374,1,yang_harmfulness,175
rank_consensus,31,10948,10711,268,0.02334599815586233,0.0005820150800761197,0.011964006617969225,1,yang_harmfulness,176
rank_consensus,26,2616,290,10708,0.0006299713788089835,0.023339458660580577,0.01198471501969478,1,siren,177
rank_consensus,31,3930,10737,415,0.023402673781637535,0.0009024503488820732,0.012152562065259803,1,yang_harmfulness,178
rank_consensus,31,8607,10799,393,0.023537823350793786,0.0008544940501492095,0.012196158700471497,1,yang_harmfulness,179
rank_consensus,31,6159,10778,429,0.023492046883821508,0.0009329679935302593,0.012212507438675883,1,yang_harmfulness,180
rank_consensus,31,11079,11294,39,0.024616840072283222,8.283360690221929e-05,0.012349836839592721,1,yang_harmfulness,181
