layer,neuron_index,rank_siren,percentile_siren,rank_yang_harmfulness,percentile_yang_harmfulness,consensus_score,n_methods_at_N,methods_that_selected_it_at_N
31,7673,9461,0.020621208455131435,155,0.0003356940911300466,0.01047845127313074,1,yang_harmfulness
31,13115,9298,0.020265895878156123,404,0.0008784721995156414,0.010572184038835883,1,yang_harmfulness
12,5006,158,0.00034223358641180074,9587,0.020895867256965107,0.010619050421688455,1,siren
31,5253,9689,0.02111821009654475,75,0.00016130755028326914,0.01063975882341401,1,yang_harmfulness
30,10139,9459,0.020616848791610264,333,0.0007237041445141264,0.010670276468062194,1,yang_harmfulness
31,1654,9622,0.02097216136858557,235,0.0005100806319768241,0.010741121000281198,1,yang_harmfulness
30,6894,9723,0.021192324376404628,214,0.00046430416500454493,0.010828314270704586,1,yang_harmfulness
19,14292,362,0.0007869192655710832,9898,0.021573794934506955,0.011180357100039019,1,siren
31,5604,10180,0.022188507490991844,164,0.00035531257697530904,0.011271910033983576,1,yang_harmfulness
31,4261,10095,0.022003221791342144,311,0.0006757478457812626,0.011339484818561703,1,yang_harmfulness
31,4577,10380,0.02262447384310879,37,7.847394338104985e-05,0.01135147389324492,1,yang_harmfulness
30,3364,10062,0.021931287343242848,387,0.0008414150595857012,0.011386351201414275,1,yang_harmfulness
28,7903,10296,0.022441367975219673,301,0.0006539495281754154,0.011547658751697543,1,yang_harmfulness
31,11652,10425,0.022722566272335102,198,0.00042942685683518945,0.011575996564585146,1,yang_harmfulness
31,12863,10559,0.023014663728253452,136,0.00029427728767893695,0.011654470507966194,1,yang_harmfulness
31,6588,10290,0.022428288984656163,423,0.000919889002966751,0.011674088993811458,1,yang_harmfulness
31,8959,10470,0.022820658701561414,244,0.0005296991178220865,0.01167517890969175,1,yang_harmfulness
31,13909,10604,0.023112756157479767,260,0.000564576425991442,0.011838666291735604,1,yang_harmfulness
30,9457,10675,0.02326752421248128,219,0.0004752033238074685,0.011871363768144374,1,yang_harmfulness
31,10948,10711,0.02334599815586233,268,0.0005820150800761197,0.011964006617969225,1,yang_harmfulness
26,2616,290,0.0006299713788089835,10708,0.023339458660580577,0.01198471501969478,1,siren
31,3930,10737,0.023402673781637535,415,0.0009024503488820732,0.012152562065259803,1,yang_harmfulness
31,8607,10799,0.023537823350793786,393,0.0008544940501492095,0.012196158700471497,1,yang_harmfulness
31,6159,10778,0.023492046883821508,429,0.0009329679935302593,0.012212507438675883,1,yang_harmfulness
31,11079,11294,0.024616840072283222,39,8.283360690221929e-05,0.012349836839592721,1,yang_harmfulness
31,3175,11312,0.024656077043973747,44,9.373276570514288e-05,0.012374904904839445,1,yang_harmfulness
30,10725,11133,0.02426588715882908,242,0.0005253394543009171,0.012395613306564999,1,yang_harmfulness
31,8118,11186,0.02438141824214007,216,0.00046866382852571437,0.012425041035332892,1,yang_harmfulness
31,3759,11273,0.02457106360531094,130,0.00028119829711542864,0.012426130951213185,1,yang_harmfulness
31,1395,11335,0.024706213174467195,90,0.0001940050266920399,0.012450109100579618,1,yang_harmfulness
31,9261,11230,0.0244773308396058,238,0.0005166201272585782,0.012496975483432189,1,yang_harmfulness
30,1797,11266,0.02455580478298685,279,0.0006059932294425516,0.0125808990062147,1,yang_harmfulness
23,971,366,0.0007956385926134221,11325,0.024684414856861348,0.012740026724737384,1,siren
29,7425,337,0.0007324234715564653,11388,0.024821744257778184,0.012777083864667325,1,siren
31,11541,12068,0.026304029854975795,100,0.00021580334429788708,0.01325991659963684,1,yang_harmfulness
